region,sex,age,marst,educ,incwage
middle atlantic division,female,31,never married/single,n/a or no schooling,0
middle atlantic division,male,52,"married, spouse present",4 years of college,0
middle atlantic division,female,47,"married, spouse present",5+ years of college,70000
middle atlantic division,male,62,divorced,5+ years of college,210000
middle atlantic division,female,56,divorced,5+ years of college,180000
middle atlantic division,male,35,"married, spouse present",2 years of college,100000
middle atlantic division,female,40,"married, spouse present",grade 12,0
middle atlantic division,female,18,never married/single,grade 10,3100
middle atlantic division,male,61,divorced,4 years of college,45000
middle atlantic division,male,63,"married, spouse present",grade 12,0
middle atlantic division,female,62,"married, spouse present",grade 12,0
middle atlantic division,female,56,divorced,4 years of college,53000
middle atlantic division,female,21,never married/single,1 year of college,15000
middle atlantic division,female,18,never married/single,grade 11,3100
middle atlantic division,male,52,"married, spouse present",5+ years of college,120000
middle atlantic division,female,51,"married, spouse present",4 years of college,0
middle atlantic division,female,53,never married/single,grade 10,15000
middle atlantic division,male,61,never married/single,grade 12,60000
middle atlantic division,female,21,never married/single,grade 10,0
middle atlantic division,female,19,never married/single,1 year of college,4000
middle atlantic division,female,35,divorced,grade 12,22000
middle atlantic division,male,39,never married/single,grade 12,20000
middle atlantic division,male,48,"married, spouse absent",grade 12,0
middle atlantic division,male,60,"married, spouse present",grade 12,0
middle atlantic division,female,57,"married, spouse present",grade 12,0
middle atlantic division,male,61,"married, spouse present",4 years of college,50000
middle atlantic division,female,60,"married, spouse present",2 years of college,0
middle atlantic division,female,33,"married, spouse present",4 years of college,58000
middle atlantic division,female,31,"married, spouse present",4 years of college,55000
middle atlantic division,male,63,"married, spouse present",4 years of college,67000
middle atlantic division,female,65,"married, spouse present",1 year of college,0
middle atlantic division,female,57,"married, spouse absent",grade 12,46500
middle atlantic division,male,23,never married/single,grade 12,0
middle atlantic division,male,62,separated,grade 12,0
middle atlantic division,male,55,"married, spouse present",2 years of college,0
middle atlantic division,female,52,"married, spouse present",4 years of college,100000
middle atlantic division,male,24,never married/single,4 years of college,150000
middle atlantic division,female,53,"married, spouse present",5+ years of college,170000
middle atlantic division,male,53,"married, spouse present",5+ years of college,220000
middle atlantic division,female,18,never married/single,grade 11,0
middle atlantic division,female,54,"married, spouse present",grade 12,0
middle atlantic division,male,53,"married, spouse present",grade 12,26000
middle atlantic division,male,27,never married/single,4 years of college,52000
middle atlantic division,male,50,"married, spouse present",5+ years of college,42000
middle atlantic division,female,39,"married, spouse present",1 year of college,0
middle atlantic division,male,53,divorced,1 year of college,0
south atlantic division,male,23,never married/single,1 year of college,24000
south atlantic division,male,21,never married/single,1 year of college,0
south atlantic division,female,20,never married/single,grade 12,0
south atlantic division,male,53,"married, spouse absent",n/a or no schooling,20000
south atlantic division,female,19,never married/single,grade 12,0
south atlantic division,female,20,never married/single,1 year of college,1000
south atlantic division,male,18,never married/single,grade 10,0
south atlantic division,male,64,never married/single,2 years of college,0
south atlantic division,female,20,never married/single,grade 12,0
south atlantic division,male,22,never married/single,1 year of college,23000
south atlantic division,male,20,never married/single,1 year of college,0
south atlantic division,male,21,never married/single,grade 12,20000
south atlantic division,female,63,"married, spouse absent",1 year of college,0
south atlantic division,male,25,never married/single,"grade 5, 6, 7, or 8",0
south atlantic division,male,58,never married/single,4 years of college,2400
south atlantic division,male,23,never married/single,1 year of college,23500
south atlantic division,female,19,never married/single,grade 12,11000
south atlantic division,female,21,never married/single,1 year of college,4000
south atlantic division,female,18,never married/single,grade 11,0
south atlantic division,female,36,never married/single,grade 10,0
south atlantic division,male,19,never married/single,grade 12,0
south atlantic division,female,19,never married/single,grade 12,3000
south atlantic division,male,52,never married/single,grade 12,2100
south atlantic division,male,31,never married/single,grade 12,0
south atlantic division,male,21,never married/single,1 year of college,23000
south atlantic division,male,20,never married/single,grade 12,1500
south atlantic division,female,22,never married/single,1 year of college,0
south atlantic division,male,23,never married/single,grade 12,37200
south atlantic division,male,24,never married/single,1 year of college,30000
south atlantic division,female,33,"married, spouse absent",grade 12,0
south atlantic division,female,19,never married/single,grade 12,0
south atlantic division,male,23,never married/single,grade 12,23000
south atlantic division,male,23,never married/single,grade 12,33000
south atlantic division,male,65,never married/single,grade 9,0
south atlantic division,female,43,never married/single,grade 12,0
south atlantic division,male,49,never married/single,grade 12,20500
south atlantic division,male,25,"married, spouse absent",grade 12,0
south atlantic division,male,20,never married/single,1 year of college,5000
south atlantic division,female,41,widowed,4 years of college,0
south atlantic division,male,38,never married/single,4 years of college,0
south atlantic division,male,48,never married/single,1 year of college,0
south atlantic division,female,22,never married/single,1 year of college,0
south atlantic division,female,29,never married/single,n/a or no schooling,0
south atlantic division,female,28,never married/single,"grade 5, 6, 7, or 8",0
south atlantic division,male,31,never married/single,1 year of college,40000
south atlantic division,female,20,never married/single,grade 12,0
south atlantic division,male,20,never married/single,1 year of college,0
south atlantic division,male,31,never married/single,grade 12,0
south atlantic division,male,59,never married/single,grade 12,5700
south atlantic division,male,19,never married/single,grade 12,0
south atlantic division,female,19,never married/single,1 year of college,4000
south atlantic division,male,35,"married, spouse absent",5+ years of college,5000
south atlantic division,male,35,never married/single,grade 12,0
south atlantic division,female,21,never married/single,1 year of college,2400
south atlantic division,male,23,never married/single,1 year of college,0
south atlantic division,male,19,never married/single,grade 12,0
south atlantic division,male,49,never married/single,grade 11,0
south atlantic division,female,55,never married/single,n/a or no schooling,0
south atlantic division,male,20,never married/single,grade 12,0
south atlantic division,male,48,"married, spouse absent",grade 12,0
south atlantic division,male,53,separated,grade 11,5000
south atlantic division,male,20,never married/single,grade 12,20000
south atlantic division,male,44,never married/single,1 year of college,0
south atlantic division,male,31,never married/single,grade 12,0
south atlantic division,female,22,never married/single,1 year of college,0
south atlantic division,male,54,widowed,grade 12,0
south atlantic division,female,21,never married/single,1 year of college,0
south atlantic division,male,41,divorced,1 year of college,0
south atlantic division,male,26,never married/single,grade 10,6500
south atlantic division,male,53,never married/single,grade 12,2400
south atlantic division,male,19,never married/single,grade 12,1000
south atlantic division,female,33,"married, spouse present",4 years of college,21200
south atlantic division,male,34,"married, spouse present",2 years of college,22900
south atlantic division,male,52,"married, spouse present",2 years of college,40000
south atlantic division,female,42,"married, spouse present",grade 12,25000
south atlantic division,female,37,"married, spouse present",2 years of college,24700
south atlantic division,male,40,"married, spouse present",grade 12,70000
south atlantic division,male,61,divorced,grade 12,0
south atlantic division,female,35,"married, spouse present",4 years of college,52000
south atlantic division,male,34,"married, spouse present",4 years of college,45000
south atlantic division,female,45,"married, spouse present",4 years of college,34000
south atlantic division,male,49,"married, spouse present",4 years of college,50000
south atlantic division,male,48,divorced,2 years of college,42200
south atlantic division,female,43,divorced,n/a or no schooling,0
south atlantic division,male,25,never married/single,grade 12,8500
south atlantic division,male,21,never married/single,grade 12,20000
south atlantic division,male,62,separated,grade 12,21000
south atlantic division,female,45,separated,"grade 5, 6, 7, or 8",10500
south atlantic division,female,27,never married/single,grade 12,21000
south atlantic division,female,24,never married/single,grade 12,20000
south atlantic division,male,53,"married, spouse present",1 year of college,46000
south atlantic division,female,50,"married, spouse present",2 years of college,60000
south atlantic division,male,60,divorced,grade 12,31000
south atlantic division,male,38,"married, spouse present",5+ years of college,140000
south atlantic division,female,39,"married, spouse present",5+ years of college,50000
south atlantic division,female,55,"married, spouse present",2 years of college,50000
south atlantic division,male,55,"married, spouse present",1 year of college,40000
south atlantic division,male,32,never married/single,grade 12,9000
south atlantic division,male,27,never married/single,grade 10,0
south atlantic division,female,55,divorced,4 years of college,0
south atlantic division,female,32,never married/single,1 year of college,19000
south atlantic division,male,54,"married, spouse present",2 years of college,461000
south atlantic division,female,52,"married, spouse present",2 years of college,65000
south atlantic division,female,23,never married/single,5+ years of college,500
south atlantic division,male,62,"married, spouse present",5+ years of college,60000
south atlantic division,female,40,"married, spouse present",grade 12,20000
south atlantic division,female,65,divorced,4 years of college,0
south atlantic division,female,35,never married/single,grade 12,20000
south atlantic division,male,39,never married/single,4 years of college,20000
south atlantic division,female,64,divorced,2 years of college,3000
south atlantic division,male,58,"married, spouse present",grade 12,0
south atlantic division,female,56,"married, spouse present",1 year of college,27000
south atlantic division,female,52,divorced,2 years of college,63000
south atlantic division,male,49,"married, spouse present",4 years of college,135000
south atlantic division,female,52,"married, spouse present",grade 12,0
south atlantic division,male,50,divorced,grade 12,23000
south atlantic division,female,54,"married, spouse present",grade 12,2800
south atlantic division,female,50,"married, spouse present",grade 12,0
south atlantic division,male,64,"married, spouse present",grade 10,0
south atlantic division,female,54,"married, spouse present",2 years of college,35000
south atlantic division,male,55,"married, spouse present",2 years of college,90000
south atlantic division,female,32,separated,1 year of college,0
south atlantic division,female,43,separated,4 years of college,34000
south atlantic division,female,28,never married/single,1 year of college,16500
south atlantic division,female,42,never married/single,4 years of college,95000
south atlantic division,female,40,never married/single,4 years of college,50000
south atlantic division,female,57,"married, spouse present",1 year of college,27000
south atlantic division,male,54,"married, spouse present",grade 12,0
south atlantic division,female,21,never married/single,1 year of college,2700
south atlantic division,female,22,never married/single,1 year of college,1100
south atlantic division,male,28,never married/single,2 years of college,22000
south atlantic division,female,36,never married/single,grade 12,0
south atlantic division,female,53,"married, spouse present",1 year of college,29000
south atlantic division,male,56,"married, spouse present",grade 12,50000
south atlantic division,female,20,never married/single,grade 12,0
south atlantic division,male,50,divorced,1 year of college,47000
south atlantic division,male,51,separated,1 year of college,0
south atlantic division,female,30,never married/single,grade 12,3000
south atlantic division,female,56,divorced,5+ years of college,113000
south atlantic division,female,41,"married, spouse present",1 year of college,78000
south atlantic division,male,43,"married, spouse present",1 year of college,92000
south atlantic division,male,18,never married/single,grade 11,400
south atlantic division,male,56,"married, spouse present",4 years of college,93000
south atlantic division,female,54,"married, spouse present",grade 12,0
south atlantic division,female,48,"married, spouse present",grade 12,0
south atlantic division,male,52,"married, spouse present",1 year of college,70000
south atlantic division,male,51,never married/single,grade 12,61000
south atlantic division,male,58,"married, spouse present",4 years of college,150000
south atlantic division,female,53,"married, spouse present",4 years of college,100000
south atlantic division,female,19,never married/single,grade 11,0
south atlantic division,female,24,never married/single,2 years of college,30000
south atlantic division,female,27,never married/single,4 years of college,0
south atlantic division,female,26,never married/single,4 years of college,0
south atlantic division,female,24,never married/single,4 years of college,0
south atlantic division,female,43,never married/single,1 year of college,40800
south atlantic division,male,25,never married/single,5+ years of college,48000
south atlantic division,female,48,divorced,grade 12,32000
south atlantic division,female,46,never married/single,grade 12,42000
south atlantic division,male,48,never married/single,grade 12,43000
south atlantic division,female,27,never married/single,4 years of college,5000
south atlantic division,female,48,"married, spouse present",5+ years of college,0
south atlantic division,male,48,"married, spouse present",5+ years of college,185000
south atlantic division,male,18,never married/single,grade 11,0
south atlantic division,female,27,never married/single,4 years of college,71000
south atlantic division,male,60,never married/single,n/a or no schooling,0
south atlantic division,male,40,never married/single,4 years of college,78000
south atlantic division,female,56,divorced,1 year of college,0
south atlantic division,male,29,never married/single,grade 10,0
south atlantic division,female,24,never married/single,4 years of college,0
south atlantic division,male,20,never married/single,n/a or no schooling,0
south atlantic division,female,59,"married, spouse present",1 year of college,0
south atlantic division,female,18,never married/single,grade 11,0
south atlantic division,male,61,"married, spouse present",grade 12,23000
south atlantic division,female,53,divorced,1 year of college,56000
south atlantic division,male,51,"married, spouse present",5+ years of college,135000
south atlantic division,female,51,"married, spouse present",4 years of college,12000
south atlantic division,male,20,never married/single,1 year of college,2500
south atlantic division,female,61,"married, spouse present",5+ years of college,0
south atlantic division,male,22,never married/single,1 year of college,0
south atlantic division,male,41,"married, spouse present",5+ years of college,461000
south atlantic division,female,40,"married, spouse present",4 years of college,0
south atlantic division,female,60,divorced,grade 12,20000
south atlantic division,male,25,"married, spouse present",grade 12,38000
south atlantic division,female,21,"married, spouse present",grade 12,0
south atlantic division,male,40,"married, spouse present",2 years of college,80000
south atlantic division,female,31,"married, spouse present",grade 12,0
south atlantic division,male,62,"married, spouse present",grade 12,50000
south atlantic division,female,58,"married, spouse present",1 year of college,45000
south atlantic division,female,49,"married, spouse present",2 years of college,24000
south atlantic division,male,53,"married, spouse present",1 year of college,23000
south atlantic division,male,27,never married/single,2 years of college,22000
south atlantic division,male,26,never married/single,grade 12,2400
south atlantic division,female,58,never married/single,1 year of college,0
south atlantic division,female,54,divorced,2 years of college,25000
south atlantic division,female,18,never married/single,grade 10,0
south atlantic division,female,45,divorced,2 years of college,46000
south atlantic division,male,34,never married/single,grade 12,31500
south atlantic division,female,36,separated,grade 12,0
south atlantic division,male,18,never married/single,grade 12,0
south atlantic division,male,56,"married, spouse present",1 year of college,30000
south atlantic division,female,37,"married, spouse present",4 years of college,27000
south atlantic division,female,57,"married, spouse present",5+ years of college,45000
south atlantic division,male,63,"married, spouse present",grade 12,34000
south atlantic division,male,21,never married/single,grade 12,3000
south atlantic division,male,23,never married/single,1 year of college,16000
south atlantic division,male,23,never married/single,1 year of college,0
south atlantic division,female,45,"married, spouse present",1 year of college,52000
south atlantic division,male,46,"married, spouse present",2 years of college,30000
south atlantic division,male,25,never married/single,grade 12,25000
south atlantic division,male,18,never married/single,grade 11,0
south atlantic division,male,63,"married, spouse present",grade 12,32000
south atlantic division,male,50,"married, spouse present",4 years of college,68000
south atlantic division,female,48,"married, spouse present",4 years of college,85000
south atlantic division,female,18,never married/single,grade 11,2700
south atlantic division,male,49,divorced,grade 12,0
south atlantic division,female,36,"married, spouse present",4 years of college,36000
south atlantic division,male,38,"married, spouse present",4 years of college,65000
south atlantic division,male,50,"married, spouse present",2 years of college,40000
south atlantic division,female,45,"married, spouse present",grade 12,18000
south atlantic division,male,25,never married/single,grade 12,15500
south atlantic division,female,28,"married, spouse present",4 years of college,42000
south atlantic division,male,29,"married, spouse present",1 year of college,38000
south atlantic division,male,25,never married/single,grade 12,23000
south atlantic division,male,25,never married/single,grade 12,0
south atlantic division,female,39,"married, spouse present",2 years of college,15000
south atlantic division,male,45,"married, spouse present",grade 12,0
south atlantic division,male,20,never married/single,grade 12,700
south atlantic division,male,25,never married/single,grade 12,14000
south atlantic division,male,51,"married, spouse present",2 years of college,0
south atlantic division,female,59,"married, spouse present",5+ years of college,82000
south atlantic division,male,62,"married, spouse present",1 year of college,0
south atlantic division,female,29,divorced,2 years of college,0
south atlantic division,male,43,divorced,grade 12,24000
south atlantic division,male,60,"married, spouse present",5+ years of college,220000
south atlantic division,female,60,"married, spouse present",5+ years of college,220000
south atlantic division,female,61,never married/single,1 year of college,45000
south atlantic division,male,60,divorced,grade 12,0
south atlantic division,female,55,"married, spouse present",2 years of college,43000
south atlantic division,male,65,"married, spouse present",2 years of college,48000
south atlantic division,female,59,"married, spouse present",5+ years of college,0
south atlantic division,male,63,"married, spouse present",5+ years of college,0
south atlantic division,male,61,"married, spouse present",2 years of college,49000
south atlantic division,female,57,"married, spouse present",4 years of college,42000
south atlantic division,female,23,never married/single,4 years of college,8500
south atlantic division,male,42,"married, spouse present",4 years of college,11800
south atlantic division,female,42,"married, spouse present",5+ years of college,670
south atlantic division,male,31,"married, spouse absent",4 years of college,64000
south atlantic division,male,58,"married, spouse present",4 years of college,461000
south atlantic division,female,61,"married, spouse present",4 years of college,0
south atlantic division,female,18,never married/single,grade 11,2400
south atlantic division,male,47,never married/single,grade 9,47200
south atlantic division,female,57,divorced,2 years of college,28000
south atlantic division,male,23,never married/single,grade 12,0
south atlantic division,male,47,"married, spouse present",grade 12,40600
south atlantic division,female,47,"married, spouse present",2 years of college,19800
south atlantic division,male,40,"married, spouse present",grade 12,59000
south atlantic division,female,32,"married, spouse present",grade 12,30000
south atlantic division,female,53,"married, spouse present",2 years of college,0
south atlantic division,male,55,"married, spouse present",2 years of college,65000
south atlantic division,male,26,never married/single,grade 12,6000
south atlantic division,male,58,"married, spouse present",grade 12,0
south atlantic division,female,59,"married, spouse present",grade 12,0
south atlantic division,female,33,never married/single,grade 12,1600
south atlantic division,female,52,"married, spouse present",grade 12,48000
south atlantic division,male,54,"married, spouse present",grade 12,30000
south atlantic division,female,62,"married, spouse present",5+ years of college,0
south atlantic division,female,57,"married, spouse present",1 year of college,0
south atlantic division,male,60,"married, spouse present",1 year of college,75000
south atlantic division,female,18,never married/single,grade 11,2700
south atlantic division,male,43,never married/single,grade 12,18400
south atlantic division,female,62,divorced,grade 12,58000
south atlantic division,male,57,never married/single,grade 12,0
south atlantic division,female,41,"married, spouse present",4 years of college,22500
south atlantic division,male,43,"married, spouse present",4 years of college,0
south atlantic division,male,59,divorced,grade 10,0
south atlantic division,female,42,never married/single,grade 12,0
south atlantic division,male,42,"married, spouse present",2 years of college,75000
south atlantic division,female,52,"married, spouse present",5+ years of college,69000
south atlantic division,female,65,"married, spouse present",grade 12,0
south atlantic division,female,65,widowed,1 year of college,0
south atlantic division,male,59,divorced,1 year of college,9000
south atlantic division,female,58,never married/single,4 years of college,40000
south atlantic division,male,42,separated,1 year of college,40000
south atlantic division,female,18,never married/single,grade 11,0
south atlantic division,female,46,separated,grade 12,0
south atlantic division,female,57,separated,grade 12,17000
south atlantic division,female,53,never married/single,grade 12,12000
south atlantic division,female,62,"married, spouse present",4 years of college,31500
south atlantic division,male,62,"married, spouse present",4 years of college,73000
south atlantic division,male,32,never married/single,4 years of college,150000
south atlantic division,male,64,"married, spouse present",1 year of college,0
south atlantic division,female,59,"married, spouse present",1 year of college,20500
south atlantic division,male,64,divorced,1 year of college,0
south atlantic division,male,48,divorced,4 years of college,53000
south atlantic division,female,43,"married, spouse present",grade 9,0
south atlantic division,female,58,never married/single,"grade 5, 6, 7, or 8",0
south atlantic division,female,28,"married, spouse present",grade 12,2000
south atlantic division,male,39,"married, spouse present",4 years of college,98000
south atlantic division,female,20,never married/single,grade 12,32000
south atlantic division,male,37,divorced,grade 12,49000
south atlantic division,female,59,"married, spouse present",grade 12,0
south atlantic division,male,65,"married, spouse present",grade 12,0
south atlantic division,female,57,"married, spouse present",4 years of college,117000
south atlantic division,male,57,"married, spouse present",grade 12,0
south atlantic division,male,47,"married, spouse present",4 years of college,65000
south atlantic division,female,46,"married, spouse present",4 years of college,0
south atlantic division,male,18,never married/single,grade 11,0
south atlantic division,female,60,divorced,5+ years of college,99000
south atlantic division,female,46,"married, spouse present",4 years of college,30000
south atlantic division,male,43,"married, spouse present",4 years of college,461000
south atlantic division,male,60,separated,grade 12,129000
south atlantic division,female,38,divorced,grade 12,30000
south atlantic division,male,39,"married, spouse present",5+ years of college,39000
south atlantic division,female,38,"married, spouse present",5+ years of college,40000
south atlantic division,male,58,"married, spouse present",1 year of college,85000
south atlantic division,female,57,"married, spouse present",2 years of college,40000
south atlantic division,male,39,"married, spouse present",1 year of college,90000
south atlantic division,female,36,"married, spouse present",4 years of college,50000
south atlantic division,male,63,never married/single,5+ years of college,0
south atlantic division,female,21,never married/single,grade 12,0
south atlantic division,female,53,"married, spouse present",2 years of college,27800
south atlantic division,male,53,"married, spouse present",grade 12,103000
south atlantic division,male,26,never married/single,grade 12,30000
south atlantic division,male,51,"married, spouse present",5+ years of college,216000
south atlantic division,male,41,"married, spouse present",grade 12,88000
south atlantic division,female,40,"married, spouse present",1 year of college,42300
south atlantic division,male,39,"married, spouse present",5+ years of college,10000
south atlantic division,female,34,"married, spouse present",2 years of college,13000
south atlantic division,female,47,divorced,1 year of college,85000
south atlantic division,female,24,"married, spouse present",2 years of college,23000
south atlantic division,male,24,"married, spouse present",grade 12,40000
south atlantic division,male,51,"married, spouse absent",grade 9,25000
south atlantic division,female,41,separated,nursery school to grade 4,13000
south atlantic division,male,42,"married, spouse present",2 years of college,5400
south atlantic division,female,40,"married, spouse present",2 years of college,20000
south atlantic division,female,21,never married/single,grade 12,15000
south atlantic division,male,45,"married, spouse present",4 years of college,65000
south atlantic division,female,45,"married, spouse present",4 years of college,0
south atlantic division,female,31,"married, spouse present",grade 12,13500
south atlantic division,male,44,"married, spouse present",grade 9,0
south atlantic division,male,65,never married/single,grade 12,0
south atlantic division,male,56,"married, spouse present",grade 12,30000
south atlantic division,female,58,"married, spouse present",1 year of college,57000
south atlantic division,female,45,never married/single,1 year of college,21000
south atlantic division,male,20,never married/single,grade 12,19400
south atlantic division,female,63,divorced,2 years of college,0
south atlantic division,male,65,"married, spouse present",grade 10,0
south atlantic division,female,64,"married, spouse present",2 years of college,0
south atlantic division,female,61,"married, spouse present",grade 12,0
south atlantic division,male,39,"married, spouse present",4 years of college,124000
south atlantic division,female,37,"married, spouse present",5+ years of college,13000
south atlantic division,male,47,never married/single,grade 11,0
south atlantic division,male,34,"married, spouse present",4 years of college,60000
south atlantic division,female,35,"married, spouse present",4 years of college,0
south atlantic division,male,51,"married, spouse present",grade 12,12000
south atlantic division,female,50,"married, spouse present",grade 12,17000
south atlantic division,male,33,never married/single,2 years of college,28000
south atlantic division,female,61,"married, spouse present",4 years of college,0
south atlantic division,male,62,"married, spouse present",1 year of college,53000
south atlantic division,female,53,never married/single,2 years of college,0
south atlantic division,male,63,"married, spouse present",grade 12,99000
south atlantic division,female,60,"married, spouse present",1 year of college,30400
south atlantic division,male,31,never married/single,grade 12,0
south atlantic division,female,52,"married, spouse present",grade 12,20000
south atlantic division,male,60,"married, spouse present",grade 12,25000
south atlantic division,male,28,never married/single,1 year of college,25000
south atlantic division,female,62,divorced,n/a or no schooling,0
south atlantic division,female,51,"married, spouse present",1 year of college,0
south atlantic division,male,45,"married, spouse present",5+ years of college,50000
south atlantic division,male,23,never married/single,1 year of college,8500
south atlantic division,male,42,"married, spouse absent",4 years of college,14000
south atlantic division,male,45,"married, spouse present",5+ years of college,461000
south atlantic division,female,44,"married, spouse present",4 years of college,0
south atlantic division,female,18,never married/single,grade 11,0
south atlantic division,female,33,"married, spouse present",4 years of college,0
south atlantic division,male,33,"married, spouse present",4 years of college,78000
south atlantic division,female,32,"married, spouse present",1 year of college,0
south atlantic division,male,39,"married, spouse present",grade 11,5000
south atlantic division,female,57,widowed,1 year of college,77000
south atlantic division,male,52,divorced,grade 12,100000
south atlantic division,male,34,never married/single,5+ years of college,0
south atlantic division,male,22,never married/single,2 years of college,1800
south atlantic division,female,38,never married/single,1 year of college,35000
south atlantic division,female,20,never married/single,1 year of college,1000
south atlantic division,male,43,never married/single,1 year of college,125000
south atlantic division,male,61,divorced,grade 12,0
south atlantic division,female,63,"married, spouse present",4 years of college,75000
south atlantic division,female,52,divorced,grade 12,10000
south atlantic division,male,25,never married/single,1 year of college,45000
south atlantic division,female,60,divorced,grade 12,23000
south atlantic division,male,28,never married/single,grade 12,15000
south atlantic division,female,31,"married, spouse present",5+ years of college,41800
south atlantic division,male,30,"married, spouse present",5+ years of college,51000
south atlantic division,male,38,never married/single,1 year of college,60000
south atlantic division,female,58,divorced,1 year of college,0
south atlantic division,female,48,"married, spouse present",4 years of college,22000
south atlantic division,male,59,"married, spouse present",2 years of college,0
south atlantic division,male,26,"married, spouse absent",4 years of college,40000
south atlantic division,male,57,"married, spouse present",4 years of college,52000
south atlantic division,female,38,"married, spouse present",2 years of college,17000
south atlantic division,female,18,never married/single,grade 10,0
south atlantic division,female,65,widowed,4 years of college,0
south atlantic division,male,48,"married, spouse present",4 years of college,115000
south atlantic division,female,46,"married, spouse present",4 years of college,8000
south atlantic division,male,30,"married, spouse present",1 year of college,63000
south atlantic division,female,33,"married, spouse present",4 years of college,46000
south atlantic division,female,36,"married, spouse present",grade 12,15000
south atlantic division,male,36,"married, spouse present",grade 12,43000
south atlantic division,female,39,"married, spouse present",4 years of college,15000
south atlantic division,male,35,"married, spouse present",n/a or no schooling,16000
south atlantic division,female,62,divorced,2 years of college,200
south atlantic division,female,21,never married/single,1 year of college,10000
south atlantic division,male,23,never married/single,grade 12,0
south atlantic division,male,48,"married, spouse present",1 year of college,75000
south atlantic division,female,45,"married, spouse present",4 years of college,68000
south atlantic division,male,19,never married/single,grade 11,0
south atlantic division,male,41,"married, spouse present",2 years of college,120000
south atlantic division,female,40,"married, spouse present",2 years of college,24000
south atlantic division,male,20,never married/single,grade 12,0
south atlantic division,female,19,never married/single,grade 12,3000
south atlantic division,male,37,"married, spouse present",5+ years of college,0
south atlantic division,female,32,"married, spouse present",5+ years of college,103000
south atlantic division,female,58,"married, spouse present",4 years of college,43000
south atlantic division,male,62,"married, spouse present",4 years of college,43000
south atlantic division,female,58,separated,n/a or no schooling,36000
south atlantic division,female,28,"married, spouse present",n/a or no schooling,12000
south atlantic division,male,27,"married, spouse present",n/a or no schooling,24000
south atlantic division,female,62,"married, spouse present",5+ years of college,0
south atlantic division,male,63,"married, spouse present",grade 12,0
south atlantic division,female,48,"married, spouse present",grade 12,7000
south atlantic division,male,53,"married, spouse present",grade 12,41600
south atlantic division,female,64,"married, spouse present",grade 12,0
south atlantic division,male,43,"married, spouse present",2 years of college,0
south atlantic division,female,44,"married, spouse present",4 years of college,50000
south atlantic division,female,40,"married, spouse present",2 years of college,60000
south atlantic division,male,47,"married, spouse present",1 year of college,75000
south atlantic division,male,19,never married/single,grade 12,0
south atlantic division,male,44,"married, spouse present",5+ years of college,110000
south atlantic division,female,34,"married, spouse present",4 years of college,0
south atlantic division,female,45,divorced,4 years of college,94000
south atlantic division,male,18,never married/single,grade 10,3000
south atlantic division,male,31,"married, spouse present",5+ years of college,40000
south atlantic division,female,26,"married, spouse present",2 years of college,0
south atlantic division,female,59,never married/single,grade 12,0
south atlantic division,male,65,divorced,grade 12,40000
south atlantic division,male,33,"married, spouse present",2 years of college,30000
south atlantic division,female,29,"married, spouse present",1 year of college,0
south atlantic division,male,49,"married, spouse present",grade 12,75000
south atlantic division,female,50,"married, spouse present",grade 12,82000
south atlantic division,female,18,never married/single,grade 11,0
south atlantic division,female,37,"married, spouse present",4 years of college,41000
south atlantic division,male,41,"married, spouse present",grade 12,55000
south atlantic division,male,43,"married, spouse present",4 years of college,195000
south atlantic division,female,43,"married, spouse present",2 years of college,0
south atlantic division,male,61,"married, spouse present",grade 12,0
south atlantic division,female,52,"married, spouse present",grade 12,45000
south atlantic division,female,53,widowed,1 year of college,26000
south atlantic division,male,21,never married/single,1 year of college,5000
south atlantic division,female,47,divorced,grade 12,18000
south atlantic division,male,29,never married/single,2 years of college,40000
south atlantic division,female,55,never married/single,4 years of college,137000
south atlantic division,male,32,"married, spouse present",2 years of college,52000
south atlantic division,female,33,"married, spouse present",4 years of college,34000
south atlantic division,female,62,widowed,4 years of college,0
south atlantic division,male,53,"married, spouse present",grade 12,90000
south atlantic division,male,50,"married, spouse present",5+ years of college,70000
south atlantic division,male,26,never married/single,4 years of college,55000
south atlantic division,male,64,separated,grade 12,0
south atlantic division,female,55,"married, spouse present",5+ years of college,140000
south atlantic division,male,60,"married, spouse present",4 years of college,0
south atlantic division,female,26,never married/single,1 year of college,21000
south atlantic division,male,55,"married, spouse present",4 years of college,60000
south atlantic division,female,54,"married, spouse present",5+ years of college,75000
south atlantic division,female,49,divorced,4 years of college,125000
south atlantic division,male,37,"married, spouse present",grade 12,65000
south atlantic division,female,36,"married, spouse present",4 years of college,11000
south atlantic division,female,31,"married, spouse present",5+ years of college,50000
south atlantic division,male,32,"married, spouse present",4 years of college,150000
south atlantic division,male,49,"married, spouse present",2 years of college,0
south atlantic division,female,49,"married, spouse present",4 years of college,55000
south atlantic division,female,24,never married/single,4 years of college,30000
south atlantic division,male,65,"married, spouse present",4 years of college,180000
south atlantic division,female,60,"married, spouse present",2 years of college,5000
south atlantic division,male,27,never married/single,grade 12,0
south atlantic division,male,62,"married, spouse present",2 years of college,65000
south atlantic division,female,60,"married, spouse present",4 years of college,0
south atlantic division,female,32,"married, spouse present",4 years of college,32000
south atlantic division,male,40,"married, spouse present",4 years of college,70000
south atlantic division,female,41,separated,5+ years of college,225000
south atlantic division,male,64,"married, spouse present",grade 12,71000
south atlantic division,female,62,"married, spouse present",grade 12,37200
south atlantic division,male,48,"married, spouse present",4 years of college,70000
